ZONE NAME,START TIME,HOME CLUB,BYE TEAMS
Inter Blue,24-04-2022 09:00,Billingham,
Inter Blue,14-05-2022 09:00,Wearside,
Inter Blue,29-05-2022 10:30,Ravensworth,
Inter Blue,11-06-2022 12:00,Crook,
Inter Blue,19-06-2022 11:00,Hunley,
Inter Blue,16-07-2022 12:00,Thirsk and Northallerton,
Inter Blue,23-07-2022 10:12,South Moor,
Inter Blue,07-08-2022 10:00,Darlington,
Inter Blue,20-08-2022 09:00,Catterick,
Inter Red,23-04-2022 09:00,Bishop Auckland,
Inter Red,21-05-2022 12:00,Blackwell Grange,
Inter Red,28-05-2022 10:30,Houghton-le-Spring,
Inter Red,25-06-2022 13:00,Dinsdale,
Inter Red,03-07-2022 12:00,High Gosforth Park,
Inter Red,17-07-2022 11:00,Cleveland,
Inter Red,30-07-2022 10:00,Roseberry Grange,
Inter Red,06-08-2022 08:30,Bedale,
Inter Yellow,15-05-2022 10:30,Easingwold,
Inter Yellow,28-05-2022 08:00,Drax,
Inter Yellow,04-06-2022 10;30,Richmond,
Inter Yellow,03-07-2022 10:00,Boothferry,
Inter Yellow,17-07-2022 12:00,Kirkbymoorside,
Inter Yellow,30-07-2022 09:30,Rudding Park,
Inter Yellow,21-08-2022 12:00,Ripon City,
Inter Yellow,11-09-2022 11:00,Malton and Norton,
Rabbits Blue,07-05-2022 09:30,Whitby,
Rabbits Blue,21-05-2022 08:00,Drax,
Rabbits Blue,29-05-2022 12:00,Ripon City,
Rabbits Blue,26-06-2022 10:00,Boothferry,
Rabbits Blue,16-07-2022 10:30,Richmond,
Rabbits Blue,23-07-2022 10:30,Easingwold,
Rabbits Blue,27-08-2022 12:00,Scarborough North Cliff,
Rabbits Blue,04-09-2022 11:00,Oakdale,
Rabbits Green,30-04-2022 09:00,Wearside,
Rabbits Green,14-05-2022 11:30,Seaham,
Rabbits Green,28-05-2022 11:00,Dinsdale,
Rabbits Green,05-06-2022 10:00,Darlington,
Rabbits Green,03-07-2022 09:00,Billingham,
Rabbits Green,07-08-2022 11:00,Hunley,
Rabbits Green,13-08-2022 10:10,South Moor,
Rabbits Green,27-08-2022 12:00,Bedale,
Rabbits Red,08-05-2022 11:00,Malton and Norton,
Rabbits Red,22-05-2022 09:00,Rudding Park,
Rabbits Red,11-06-2022 12:00,Thirsk and Northallerton,
Rabbits Red,26-06-2022 12:30,Teesside,
Rabbits Red,10-07-2022 10:30,Wetherby,
Rabbits Red,31-07-2022 12:00,Kirkbymoorside,
Rabbits Red,13-08-2022 09:00,Catterick,
Rabbits Red,03-09-2022 12:00,Blackwell Grange,
Rabbits Yellow,30-04-2022 09:00,Bishop Auckland,
Rabbits Yellow,22-05-2022 10:00,Prudhoe,
Rabbits Yellow,04-06-2022 10:00,Roseberry Grange,
Rabbits Yellow,11-06-2022 11:30, Boldon,
Rabbits Yellow,16-07-2022 11:00,Crook,
Rabbits Yellow,31-07-2022 12:00,High Gosforth Park,
Rabbits Yellow,07-08-2022 12:00,Stocksfield,
Rabbits Yellow,14-08-2022 11:00,Cleveland,

